全局费用编码,中文费用名称,英文费用名称,助记符,默认币种,默认应/免税,可选开票类型,所属费用分类,对应的服务,对应的供应商类型,对应的财务科目,需提供的单据,科目说明,收付方向,原系统编码,科目说明英文
FC0126,拆箱费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,拆箱费相关的费用，具体概念待进一步研究补充。,应付,"WMSN089 , 55226, 55307","Charges related to 拆箱费, detailed concept to be researched and supplemented."
FC0127,入库装卸费,,,CNY,应税,专票/普票,装卸费用,仓储,待确认,,,入库装卸费相关的费用，具体概念待进一步研究补充。,应付,WMS01016,"Charges related to 入库装卸费, detailed concept to be researched and supplemented."
FC0128,非跨境运输费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,非跨境运输费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 非跨境运输费用, detailed concept to be researched and supplemented."
FC0129,货物附加费用,,,CNY,应税,专票/普票,跨境运输费用,,待确认,,,货物附加费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 货物附加费用, detailed concept to be researched and supplemented."
FC0130,基本运输费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,基本运输费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 基本运输费用, detailed concept to be researched and supplemented."
FC0131,送货费,,,CNY,应税,专票/普票,境内运输费用,"拖车,派送",待确认,,,送货费相关的费用，具体概念待进一步研究补充。,应付,"OP001004, 0007, 55272, 55145, 55200","Charges related to 送货费, detailed concept to be researched and supplemented."
FC0132,提货费,,,CNY,应税,专票/普票,境内运输费用,拖车,待确认,,,提货费相关的费用，具体概念待进一步研究补充。,应付,"OP001011, 05011105, 55201","Charges related to 提货费, detailed concept to be researched and supplemented."
FC0133,陆运费,,,CNY,应税,专票/普票,境内运输费用,拖车,待确认,,,陆运费相关的费用，具体概念待进一步研究补充。,应付,"TR001012, 0039, 11002, 55275","Charges related to 陆运费, detailed concept to be researched and supplemented."
FC0134,短驳费,,,CNY,应税,专票/普票,境内运输费用,拖车,待确认,,,短驳费相关的费用，具体概念待进一步研究补充。,应付,TR001009,"Charges related to 短驳费, detailed concept to be researched and supplemented."
FC0135,放空费/空返费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,放空费/空返费相关的费用，具体概念待进一步研究补充。,应付,"TR001003, 05011201, 8012, 55189","Charges related to 放空费/空返费, detailed concept to be researched and supplemented."
FC0136,还箱费,,,CNY,应税,专票/普票,集装箱费用,,待确认,,,还箱费相关的费用，具体概念待进一步研究补充。,应付,655239,"Charges related to 还箱费, detailed concept to be researched and supplemented."
FC0137,预提费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,预提费相关的费用，具体概念待进一步研究补充。,应付,55277,"Charges related to 预提费, detailed concept to be researched and supplemented."
FC0138,快递费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,快递费相关的费用，具体概念待进一步研究补充。,应付,"OP001009, 655248","Charges related to 快递费, detailed concept to be researched and supplemented."
FC0139,代垫快递费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,代垫快递费相关的费用，具体概念待进一步研究补充。,应付,55836,"Charges related to 代垫快递费, detailed concept to be researched and supplemented."
FC0140,卡班转运费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,卡班转运费相关的费用，具体概念待进一步研究补充。,应付,"55180   , 55180, SEA01016","Charges related to 卡班转运费, detailed concept to be researched and supplemented."
FC0141,分拨费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,分拨费相关的费用，具体概念待进一步研究补充。,应付,"OPN073  , OPN073","Charges related to 分拨费, detailed concept to be researched and supplemented."
FC0142,内陆铁路转运费,,,CNY,应税,专票/普票,特殊科目,国内铁路,待确认,,,内陆铁路转运费相关的费用，具体概念待进一步研究补充。,应付,55252,"Charges related to 内陆铁路转运费, detailed concept to be researched and supplemented."
FC0143,多点提/送费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,多点提/送费相关的费用，具体概念待进一步研究补充。,应付,TR001014,"Charges related to 多点提/送费, detailed concept to be researched and supplemented."
FC0144,国内空运费,,,CNY,应税,专票/普票,跨境运输费用,,待确认,,,国内空运费相关的费用，具体概念待进一步研究补充。,应付,55850,"Charges related to 国内空运费, detailed concept to be researched and supplemented."
FC0145,到付运费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,到付运费相关的费用，具体概念待进一步研究补充。,应付,OP001007,"Charges related to 到付运费, detailed concept to be researched and supplemented."
FC0146,回程配货费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,回程配货费相关的费用，具体概念待进一步研究补充。,应付,55081,"Charges related to 回程配货费, detailed concept to be researched and supplemented."
FC0147,异地还拖板费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,异地还拖板费相关的费用，具体概念待进一步研究补充。,应付,655238,"Charges related to 异地还拖板费, detailed concept to be researched and supplemented."
FC0148,支线运费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,支线运费相关的费用，具体概念待进一步研究补充。,应付,"55783, HY202301","Charges related to 支线运费, detailed concept to be researched and supplemented."
FC0149,其他附加费用,,,CNY,应税,专票/普票,跨境运输费用,,待确认,,,其他附加费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 其他附加费用, detailed concept to be researched and supplemented."
FC0150,自有车辆费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,自有车辆费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 自有车辆费用, detailed concept to be researched and supplemented."
FC0151,停车费,,,CNY,应税,专票/普票,境内运输费用,,待确认,,,停车费相关的费用，具体概念待进一步研究补充。,应付,SEA01119,"Charges related to 停车费, detailed concept to be researched and supplemented."
FC0152,油费,,,CNY,应税,专票/普票,境内运输费用,,待确认,,,油费相关的费用，具体概念待进一步研究补充。,应付,TRN082,"Charges related to 油费, detailed concept to be researched and supplemented."
FC0153,待时费,,,CNY,应税,专票/普票,境内运输费用,,待确认,,,待时费相关的费用，具体概念待进一步研究补充。,应付,"TR001010, 7000","Charges related to 待时费, detailed concept to be researched and supplemented."
FC0154,押夜费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,押夜费相关的费用，具体概念待进一步研究补充。,应付,TRN083,"Charges related to 押夜费, detailed concept to be researched and supplemented."
FC0155,过路过桥费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,过路过桥费相关的费用，具体概念待进一步研究补充。,应付,TRN081,"Charges related to 过路过桥费, detailed concept to be researched and supplemented."
FC0156,卡车航班服务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,卡车航班服务费相关的费用，具体概念待进一步研究补充。,应付,55856,"Charges related to 卡车航班服务费, detailed concept to be researched and supplemented."
FC0157,代驾服务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,代驾服务费相关的费用，具体概念待进一步研究补充。,应付,55313,"Charges related to 代驾服务费, detailed concept to be researched and supplemented."
FC0158,车货配载服务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,车货配载服务费相关的费用，具体概念待进一步研究补充。,应付,55855,"Charges related to 车货配载服务费, detailed concept to be researched and supplemented."
FC0159,自有车辆折旧费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,自有车辆折旧费相关的费用，具体概念待进一步研究补充。,应付,55162,"Charges related to 自有车辆折旧费, detailed concept to be researched and supplemented."
FC0160,自有车辆保险费,,,CNY,应税,专票/普票,保险费用,保险,待确认,,,自有车辆保险费相关的费用，具体概念待进一步研究补充。,应付,55163,"Charges related to 自有车辆保险费, detailed concept to be researched and supplemented."
FC0161,自有车辆维修保养费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,自有车辆维修保养费相关的费用，具体概念待进一步研究补充。,应付,55165,"Charges related to 自有车辆维修保养费, detailed concept to be researched and supplemented."
FC0162,车辆管理费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,车辆管理费用相关的费用，具体概念待进一步研究补充。,应付,TR001001,"Charges related to 车辆管理费用, detailed concept to be researched and supplemented."
FC0163,保险费,,,CNY,应税,专票/普票,保险费用,保险,待确认,,,保险费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 保险费, detailed concept to be researched and supplemented."
FC0164,关检费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,关检费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 关检费用, detailed concept to be researched and supplemented."
FC0165,关检常规服务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,关检常规服务费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 关检常规服务费, detailed concept to be researched and supplemented."
FC0166,保税相关费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,保税相关费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 保税相关费用, detailed concept to be researched and supplemented."
FC0167,保税核注清单出口费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,保税核注清单出口费相关的费用，具体概念待进一步研究补充。,应付,"55256   , 55256","Charges related to 保税核注清单出口费, detailed concept to be researched and supplemented."
FC0168,保税核注清单申报费,,,CNY,应税,专票/普票,单证文件费用,,待确认,,,保税核注清单申报费相关的费用，具体概念待进一步研究补充。,应付,55312,"Charges related to 保税核注清单申报费, detailed concept to be researched and supplemented."
FC0169,剪锁费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,剪锁费相关的费用，具体概念待进一步研究补充。,应付,55903,"Charges related to 剪锁费, detailed concept to be researched and supplemented."
FC0170,监管区车辆管理费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,监管区车辆管理费相关的费用，具体概念待进一步研究补充。,应付,"55159   , 55159","Charges related to 监管区车辆管理费, detailed concept to be researched and supplemented."
FC0171,卡口使用费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,卡口使用费相关的费用，具体概念待进一步研究补充。,应付,"CS002001, 55719","Charges related to 卡口使用费, detailed concept to be researched and supplemented."
FC0172,电子账册使用费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,电子账册使用费相关的费用，具体概念待进一步研究补充。,应付,WMS01020,"Charges related to 电子账册使用费, detailed concept to be researched and supplemented."
FC0173,代垫进出区杂费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,代垫进出区杂费相关的费用，具体概念待进一步研究补充。,应付,55095,"Charges related to 代垫进出区杂费, detailed concept to be researched and supplemented."
FC0174,保税核注清单进口费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,保税核注清单进口费相关的费用，具体概念待进一步研究补充。,应付,55255,"Charges related to 保税核注清单进口费, detailed concept to be researched and supplemented."
FC0175,关检增值服务及异常处置,,,CNY,应税,专票/普票,特殊科目,,待确认,,,关检增值服务及异常处置相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 关检增值服务及异常处置, detailed concept to be researched and supplemented."
FC0176,滞报金,,,CNY,应税,专票/普票,关检费用,,待确认,,,滞报金相关的费用，具体概念待进一步研究补充。,应付,CS001015,"Charges related to 滞报金, detailed concept to be researched and supplemented."
FC0177,退关费,,,CNY,应税,专票/普票,关检费用,,待确认,,,退关费相关的费用，具体概念待进一步研究补充。,应付,"CSN037  , CSN037","Charges related to 退关费, detailed concept to be researched and supplemented."
FC0178,关检罚款,,,CNY,应税,专票/普票,特殊科目,,待确认,,,关检罚款相关的费用，具体概念待进一步研究补充。,应付,CQN002,"Charges related to 关检罚款, detailed concept to be researched and supplemented."
FC0179,查验拖车费,,,CNY,应税,专票/普票,境内运输费用,"拖车,报关",待确认,,,查验拖车费相关的费用，具体概念待进一步研究补充。,应付,"CQ001011, 55281","Charges related to 查验拖车费, detailed concept to be researched and supplemented."
FC0180,关检查验费,,,CNY,应税,专票/普票,关检费用,"报关,质量控制",待确认,,,关检查验费相关的费用，具体概念待进一步研究补充。,应付,"55825   , 655230","Charges related to 关检查验费, detailed concept to be researched and supplemented."
FC0181,代垫查验费用,,,CNY,应税,专票/普票,关检费用,报关,待确认,,,代垫查验费用相关的费用，具体概念待进一步研究补充。,应付,CQ001015,"Charges related to 代垫查验费用, detailed concept to be researched and supplemented."
FC0182,代垫手续费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,代垫手续费相关的费用，具体概念待进一步研究补充。,应付,"55123   , 55123, 55306","Charges related to 代垫手续费, detailed concept to be researched and supplemented."
FC0183,重开进场联,,,CNY,应税,专票/普票,特殊科目,,待确认,,,重开进场联相关的费用，具体概念待进一步研究补充。,应付,55279,"Charges related to 重开进场联, detailed concept to be researched and supplemented."
FC0184,垫税代理,,,CNY,应税,专票/普票,特殊科目,,待确认,,,垫税代理相关的费用，具体概念待进一步研究补充。,应付,OPN071,"Charges related to 垫税代理, detailed concept to be researched and supplemented."
FC0185,关检保证金,,,CNY,应税,专票/普票,特殊科目,,待确认,,,关检保证金相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 关检保证金, detailed concept to be researched and supplemented."
FC0186,税费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,税费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 税费, detailed concept to be researched and supplemented."
FC0187,消费税,,,CNY,应税,专票/普票,特殊科目,,待确认,,,消费税相关的费用，具体概念待进一步研究补充。,应付,CS001030,"Charges related to 消费税, detailed concept to be researched and supplemented."
FC0188,反倾销税,,,CNY,应税,专票/普票,特殊科目,,待确认,,,反倾销税相关的费用，具体概念待进一步研究补充。,应付,CS001031,"Charges related to 反倾销税, detailed concept to be researched and supplemented."
FC0189,内销补税,,,CNY,应税,专票/普票,特殊科目,,待确认,,,内销补税相关的费用，具体概念待进一步研究补充。,应付,"OPN062  , OPN062","Charges related to 内销补税, detailed concept to be researched and supplemented."
FC0190,美国海关保证金（单次）,,,CNY,应税,专票/普票,特殊科目,,待确认,,,美国海关保证金（单次）相关的费用，具体概念待进一步研究补充。,应付,"55233, 55664","Charges related to 美国海关保证金（单次）, detailed concept to be researched and supplemented."
FC0191,美国海关保证金（年度）,,,CNY,应税,专票/普票,特殊科目,,待确认,,,美国海关保证金（年度）相关的费用，具体概念待进一步研究补充。,应付,"55232, 55664","Charges related to 美国海关保证金（年度）, detailed concept to be researched and supplemented."
FC0192,报关费,,,CNY,应税,专票/普票,关检费用,报关,报关行,,,委托报关行或报关员办理货物出口报关手续所收取的服务费用。包括单证审核、报关单填制、与海关沟通等专业服务。,应付,"CS001001, 550006, 55312","Service fee charged by customs brokers for handling export customs clearance procedures, including document review, customs declaration preparation, and communication with customs authorities."
FC0193,转关费,,,CNY,应税,专票/普票,关检费用,报关,待确认,,,转关费相关的费用，具体概念待进一步研究补充。,应付,CS001028,"Charges related to 转关费, detailed concept to be researched and supplemented."
FC0194,报检费,,,CNY,应税,专票/普票,关检费用,报关,待确认,,,报检费相关的费用，具体概念待进一步研究补充。,应付,"CQN003  , 55777, 55301","Charges related to 报检费, detailed concept to be researched and supplemented."
FC0195,动检费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,动检费相关的费用，具体概念待进一步研究补充。,应付,0058,"Charges related to 动检费, detailed concept to be researched and supplemented."
FC0196,植物检疫费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,植物检疫费相关的费用，具体概念待进一步研究补充。,应付,0091,"Charges related to 植物检疫费, detailed concept to be researched and supplemented."
FC0197,关税,,CD,CNY,应税,专票/普票,关检费用,报关,待确认,,,关税相关的费用，具体概念待进一步研究补充。,应付,CS001005,"Charges related to 关税, detailed concept to be researched and supplemented."
FC0198,增值税,,,CNY,应税,专票/普票,关检费用,报关,待确认,,,增值税相关的费用，具体概念待进一步研究补充。,应付,"CS001014, 55772, SEA01010","Charges related to 增值税, detailed concept to be researched and supplemented."
FC0199,印花税,,,CNY,应税,专票/普票,特殊科目,,待确认,,,印花税相关的费用，具体概念待进一步研究补充。,应付,55182,"Charges related to 印花税, detailed concept to be researched and supplemented."
FC0200,仓储费用,,,CNY,应税,专票/普票,仓储费用,仓储,待确认,,,仓储费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 仓储费用, detailed concept to be researched and supplemented."
FC0201,仓库运作成本,,,CNY,应税,专票/普票,仓储费用,,待确认,,,仓库运作成本相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 仓库运作成本, detailed concept to be researched and supplemented."
FC0202,前置仓费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,前置仓费相关的费用，具体概念待进一步研究补充。,应付,55905,"Charges related to 前置仓费, detailed concept to be researched and supplemented."
FC0203,库前服务费,,,CNY,应税,专票/普票,仓储费用,仓储,待确认,,,库前服务费相关的费用，具体概念待进一步研究补充。,应付,55853,"Charges related to 库前服务费, detailed concept to be researched and supplemented."
FC0204,出入库费,,,CNY,应税,专票/普票,装卸费用,仓储,待确认,,,出入库费相关的费用，具体概念待进一步研究补充。,应付,WMS01001,"Charges related to 出入库费, detailed concept to be researched and supplemented."
FC0205,代垫进出库杂费,,,CNY,应税,专票/普票,装卸费用,仓储,待确认,,,代垫进出库杂费相关的费用，具体概念待进一步研究补充。,应付,55080,"Charges related to 代垫进出库杂费, detailed concept to be researched and supplemented."
FC0206,入库登记费,,,CNY,应税,专票/普票,装卸费用,仓储,待确认,,,入库登记费相关的费用，具体概念待进一步研究补充。,应付,55781,"Charges related to 入库登记费, detailed concept to be researched and supplemented."
FC0207,仓储费,,,CNY,应税,专票/普票,仓储费用,仓储,待确认,,,仓储费相关的费用，具体概念待进一步研究补充。,应付,"WMS01005, 655255, 55129, 55780, 20070702, 55667, 55669, 55670","Charges related to 仓储费, detailed concept to be researched and supplemented."
FC0208,房租费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,房租费相关的费用，具体概念待进一步研究补充。,应付,"WMS01018, 55116","Charges related to 房租费, detailed concept to be researched and supplemented."
FC0209,公共事业费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,公共事业费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 公共事业费用, detailed concept to be researched and supplemented."
FC0210,水费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,水费相关的费用，具体概念待进一步研究补充。,应付,55908,"Charges related to 水费, detailed concept to be researched and supplemented."
FC0211,电费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,电费相关的费用，具体概念待进一步研究补充。,应付,WMS01014,"Charges related to 电费, detailed concept to be researched and supplemented."
FC0212,网费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,网费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 网费, detailed concept to be researched and supplemented."
FC0213,物业费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,物业费相关的费用，具体概念待进一步研究补充。,应付,"55133   , 55133","Charges related to 物业费, detailed concept to be researched and supplemented."
FC0214,保洁费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,保洁费相关的费用，具体概念待进一步研究补充。,应付,"55139   , 55139","Charges related to 保洁费, detailed concept to be researched and supplemented."
FC0215,单证文件费,,,CNY,应税,专票/普票,单证文件费用,,待确认,,,单证文件费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 单证文件费, detailed concept to be researched and supplemented."
FC0216,单证文件制作及使用费,,,CNY,应税,专票/普票,单证文件费用,,待确认,,,单证文件制作及使用费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 单证文件制作及使用费, detailed concept to be researched and supplemented."
FC0217,海运单费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,海运单费相关的费用，具体概念待进一步研究补充。,应付,SEA01023,"Charges related to 海运单费, detailed concept to be researched and supplemented."
FC0218,换单费,,,CNY,应税,专票/普票,单证文件费用,换单,待确认,,,换单费相关的费用，具体概念待进一步研究补充。,应付,"OP001002, OPN063, 55214, OPN064","Charges related to 换单费, detailed concept to be researched and supplemented."
FC0219,代垫换单费,,,CNY,应税,专票/普票,单证文件费用,换单,待确认,,,代垫换单费相关的费用，具体概念待进一步研究补充。,应付,55829,"Charges related to 代垫换单费, detailed concept to be researched and supplemented."
FC0220,船证费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,船证费相关的费用，具体概念待进一步研究补充。,应付,SEAN096,"Charges related to 船证费, detailed concept to be researched and supplemented."
FC0221,文件费/制单费,,,CNY,应税,专票/普票,单证文件费用,,待确认,,,文件费/制单费相关的费用，具体概念待进一步研究补充。,应付,"OP009001/OP001018, 05011107, 55151, OP001018, SEA01006","Charges related to 文件费/制单费, detailed concept to be researched and supplemented."
FC0222,电放费,,,CNY,应税,专票/普票,单证文件费用,换单,待确认,,,电放费相关的费用，具体概念待进一步研究补充。,应付,"OP009001/OP001018, 05011107, 55151, OP001018, SEA01005","Charges related to 电放费, detailed concept to be researched and supplemented."
FC0223,出口许可证,,,CNY,应税,专票/普票,特殊科目,,待确认,,,出口许可证相关的费用，具体概念待进一步研究补充。,应付,"OP009001/OP001018, 05011107, 55151, OP001018","Charges related to 出口许可证, detailed concept to be researched and supplemented."
FC0224,进口许可证,,,CNY,应税,专票/普票,特殊科目,,待确认,,,进口许可证相关的费用，具体概念待进一步研究补充。,应付,"OP009001/OP001018, 05011107, 55151, OP001018","Charges related to 进口许可证, detailed concept to be researched and supplemented."
FC0225,签证费,,,CNY,应税,专票/普票,单证文件费用,,待确认,,,签证费相关的费用，具体概念待进一步研究补充。,应付,55820,"Charges related to 签证费, detailed concept to be researched and supplemented."
FC0226,电子装箱单,,,CNY,应税,专票/普票,集装箱费用,内装,待确认,,,电子装箱单相关的费用，具体概念待进一步研究补充。,应付,SY55001,"Charges related to 电子装箱单, detailed concept to be researched and supplemented."
FC0227,3C代理费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,3C代理费相关的费用，具体概念待进一步研究补充。,应付,550046,"Charges related to 3C代理费, detailed concept to be researched and supplemented."
FC0228,能效证办理费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,能效证办理费相关的费用，具体概念待进一步研究补充。,应付,55096,"Charges related to 能效证办理费, detailed concept to be researched and supplemented."
FC0229,异地放单费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,异地放单费相关的费用，具体概念待进一步研究补充。,应付,0332,"Charges related to 异地放单费, detailed concept to be researched and supplemented."
FC0230,产地证代理费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,产地证代理费相关的费用，具体概念待进一步研究补充。,应付,"58999, 0301","Charges related to 产地证代理费, detailed concept to be researched and supplemented."
FC0231,签单费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,签单费相关的费用，具体概念待进一步研究补充。,应付,0115,"Charges related to 签单费, detailed concept to be researched and supplemented."
FC0232,舱单费,,,CNY,应税,专票/普票,单证文件费用,舱单,待确认,,,舱单费相关的费用，具体概念待进一步研究补充。,应付,CS001012,"Charges related to 舱单费, detailed concept to be researched and supplemented."
FC0233,交货记录费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,交货记录费相关的费用，具体概念待进一步研究补充。,应付,"CSN053  , CSN053","Charges related to 交货记录费, detailed concept to be researched and supplemented."
FC0234,鉴定费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,鉴定费相关的费用，具体概念待进一步研究补充。,应付,CQ001012,"Charges related to 鉴定费, detailed concept to be researched and supplemented."
FC0235,补录进口舱单费,,,CNY,应税,专票/普票,单证文件费用,舱单,待确认,,,补录进口舱单费相关的费用，具体概念待进一步研究补充。,应付,55253,"Charges related to 补录进口舱单费, detailed concept to be researched and supplemented."
FC0236,邮戳费,Stamp Fee,,CNY,应税,专票/普票,特殊科目,,待确认,,,邮戳费相关的费用，具体概念待进一步研究补充。,应付,55913,"Charges related to 邮戳费, detailed concept to be researched and supplemented."
FC0237,入库代理费,,,CNY,应税,专票/普票,装卸费用,仓储,待确认,,,入库代理费相关的费用，具体概念待进一步研究补充。,应付,OPN075,"Charges related to 入库代理费, detailed concept to be researched and supplemented."
FC0238,入区代理费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,入区代理费相关的费用，具体概念待进一步研究补充。,应付,OPN074,"Charges related to 入区代理费, detailed concept to be researched and supplemented."
FC0239,文件传输及申报费,,,CNY,应税,专票/普票,单证文件费用,,待确认,,,文件传输及申报费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 文件传输及申报费, detailed concept to be researched and supplemented."
FC0240,运抵更改费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,运抵更改费相关的费用，具体概念待进一步研究补充。,应付,655237,"Charges related to 运抵更改费, detailed concept to be researched and supplemented."
FC0241,改单费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,改单费相关的费用，具体概念待进一步研究补充。,应付,"CS001007, 55192","Charges related to 改单费, detailed concept to be researched and supplemented."
FC0242,集装箱核实重量费,,VGM,CNY,应税,专票/普票,集装箱费用,内装,待确认,,,集装箱核实重量费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 集装箱核实重量费, detailed concept to be researched and supplemented."
FC0243,VGM更改费,,,CNY,应税,专票/普票,单证文件费用,,待确认,,,VGM更改费相关的费用，具体概念待进一步研究补充。,应付,55078,"Charges related to VGM更改费, detailed concept to be researched and supplemented."
FC0244,舱单更改费,,,CNY,应税,专票/普票,单证文件费用,舱单,待确认,,,舱单更改费相关的费用，具体概念待进一步研究补充。,应付,0303,"Charges related to 舱单更改费, detailed concept to be researched and supplemented."
FC0245,美国进口安全申报费,,,CNY,应税,专票/普票,单证文件费用,,待确认,,,美国进口安全申报费相关的费用，具体概念待进一步研究补充。,应付,"550026  , 55150","Charges related to 美国进口安全申报费, detailed concept to be researched and supplemented."
FC0246,AES信息传输费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,AES信息传输费相关的费用，具体概念待进一步研究补充。,应付,CS001021,"Charges related to AES信息传输费, detailed concept to be researched and supplemented."
FC0247,VGM传输费,,,CNY,应税,专票/普票,单证文件费用,,待确认,,,VGM传输费相关的费用，具体概念待进一步研究补充。,应付,55914,"Charges related to VGM传输费, detailed concept to be researched and supplemented."
FC0248,危险品申报费,,,CNY,应税,专票/普票,货物附加费用,,待确认,,,危险品申报费相关的费用，具体概念待进一步研究补充。,应付,"SEA01066, 55738","Charges related to 危险品申报费, detailed concept to be researched and supplemented."
FC0249,有毒物质申报费,,,CNY,应税,专票/普票,单证文件费用,,待确认,,,有毒物质申报费相关的费用，具体概念待进一步研究补充。,应付,55842,"Charges related to 有毒物质申报费, detailed concept to be researched and supplemented."
FC0250,舱单申报费,,,CNY,应税,专票/普票,单证文件费用,舱单,待确认,,,舱单申报费相关的费用，具体概念待进一步研究补充。,应付,"55775, SEA01018","Charges related to 舱单申报费, detailed concept to be researched and supplemented."
FC0251,信息费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,信息费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 信息费, detailed concept to be researched and supplemented."
FC0252,更改费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,更改费相关的费用，具体概念待进一步研究补充。,应付,"CSN045  , CSN045","Charges related to 更改费, detailed concept to be researched and supplemented."
FC0253,删单费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,删单费相关的费用，具体概念待进一步研究补充。,应付,CS001006,"Charges related to 删单费, detailed concept to be researched and supplemented."
FC0254,运抵费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,运抵费相关的费用，具体概念待进一步研究补充。,应付,SEA01031,"Charges related to 运抵费, detailed concept to be researched and supplemented."
FC0255,文件申报罚金,,,CNY,应税,专票/普票,单证文件费用,,待确认,,,文件申报罚金相关的费用，具体概念待进一步研究补充。,应付,655257,"Charges related to 文件申报罚金, detailed concept to be researched and supplemented."
FC0256,拍照费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,拍照费相关的费用，具体概念待进一步研究补充。,应付,SEAN085,"Charges related to 拍照费, detailed concept to be researched and supplemented."
FC0257,包装检查费,,,CNY,应税,专票/普票,增值服务费用,质量控制,待确认,,,包装检查费相关的费用，具体概念待进一步研究补充。,应付,CQ001018,"Charges related to 包装检查费, detailed concept to be researched and supplemented."
